L'Abergement-Clémenciat,L'Abergement-Clémenciat,1001,10010000,767,CC Chalaronne Centre,1,Ain,84,Auvergne-Rhône-Alpes,1400,104,53,70,75,91,86,78,88.86,94.31
L'Abergement-de-Varey,L'Abergement-de-Varey,1002,10020000,243,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1640,107,63,78,65,77,73,75,88.86,94.31
Ambérieu-en-Bugey,Centre-St GermAin-Vareilles,1004,10040201,4100,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,92,135,121,116,104,108,115,88.86,94.31
Ambérieu-en-Bugey,Les Perouses-Triangle d'Activite,1004,10040101,1893,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,92,125,114,154,111,125,120,88.86,94.31
Ambérieu-en-Bugey,Longeray-Gare,1004,10040102,3546,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,92,136,121,126,97,107,114,88.86,94.31
Ambérieu-en-Bugey,Tiret-Les Allymes,1004,10040202,4542,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,92,84,87,90,75,80,83,88.86,94.31
Ambérieux-en-Dombes,Ambérieux-en-Dombes,1005,10050000,1671,CC Dombes Saône Vallée,1,Ain,84,Auvergne-Rhône-Alpes,1330,109,62,77,86,91,89,83,88.86,94.31
Ambléon,Ambléon,1006,10060000,110,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,0,101,67,82,101,95,81,88.86,94.31
Ambronay,Ambronay,1007,10070000,2684,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,103,79,87,81,82,82,84,88.86,94.31
Ambutrix,Ambutrix,1008,10080000,750,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,114,80,92,96,67,77,84,88.86,94.31
Andert-et-Condon,Andert-et-Condon,1009,10090000,336,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,108,96,100,62,109,94,97,88.86,94.31
Anglefort,Anglefort,1010,10100000,1124,CC du Pays de Seyssel,1,Ain,84,Auvergne-Rhône-Alpes,1350,106,87,93,81,91,87,90,88.86,94.31
Apremont,Apremont,1011,10110000,383,CC Haut - Bugey,1,Ain,84,Auvergne-Rhône-Alpes,1100,105,35,58,66,86,79,69,88.86,94.31
Aranc,Aranc,1012,10120000,326,CC du Plateau d'Hauteville,1,Ain,84,Auvergne-Rhône-Alpes,1110,103,90,94,50,124,99,97,88.86,94.31
Arandas,Arandas,1013,10130000,148,CC de la Vallée de l'Albarine,1,Ain,84,Auvergne-Rhône-Alpes,1230,93,42,59,58,102,88,73,88.86,94.31
Arbent,Arbent,1014,10140000,3379,CC Haut - Bugey,1,Ain,84,Auvergne-Rhône-Alpes,1100,95,72,80,81,124,110,95,88.86,94.31
Arboys en Bugey,Arboys en Bugey,1015,10150000,640,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,103,64,77,81,105,97,87,88.86,94.31
Arbigny,Arbigny,1016,10160000,462,CC de Pont de Vaux,1,Ain,84,Auvergne-Rhône-Alpes,1190,99,35,56,76,98,91,74,88.86,94.31
Argis,Argis,1017,10170000,438,CC de la Vallée de l'Albarine,1,Ain,84,Auvergne-Rhône-Alpes,1230,89,92,91,55,115,95,93,88.86,94.31
Armix,Armix,1019,10190000,26,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1510,0,46,30,94,103,100,65,88.86,94.31
Ars-sur-Formans,Ars-sur-Formans,1021,10210000,1389,CC Dombes Saône Vallée,1,Ain,84,Auvergne-Rhône-Alpes,1480,108,66,80,89,76,80,80,88.86,94.31
Artemare,Artemare,1022,10220000,1227,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1510,91,89,90,81,119,106,98,88.86,94.31
Asnières-sur-Saône,Asnières-sur-Saône,1023,10230000,63,CC du Pays de Bâgé,1,Ain,84,Auvergne-Rhône-Alpes,1570,0,46,30,59,95,83,57,88.86,94.31
Attignat,Attignat,1024,10240000,3270,CC de Montrevel - en - Bresse,1,Ain,84,Auvergne-Rhône-Alpes,1340,101,71,81,87,79,82,81,88.86,94.31
Bâgé-la-Ville,Bâgé-la-Ville,1025,10250000,4088,CC du Pays de Bâgé,1,Ain,84,Auvergne-Rhône-Alpes,1380,101,58,73,74,88,83,78,88.86,94.31
Bâgé-le-Châtel,Bâgé-le-Châtel,1026,10260000,915,CC du Pays de Bâgé,1,Ain,84,Auvergne-Rhône-Alpes,1380,98,81,87,106,127,120,104,88.86,94.31
Balan,Balan,1027,10270000,2856,CC de la Côtière à Montluel,1,Ain,84,Auvergne-Rhône-Alpes,1360,108,64,78,237,58,118,98,88.86,94.31
Baneins,Baneins,1028,10280000,596,CC Chalaronne Centre,1,Ain,84,Auvergne-Rhône-Alpes,1990,107,45,65,90,82,84,75,88.86,94.31
Beaupont,Beaupont,1029,10290000,685,CC du Canton de Coligny,1,Ain,84,Auvergne-Rhône-Alpes,1270,89,99,95,75,112,100,98,88.86,94.31
BeaureGard,BeaureGard,1030,10300000,885,CC Dombes Saône Vallée,1,Ain,84,Auvergne-Rhône-Alpes,1480,94,122,113,103,83,89,101,88.86,94.31
Bellignat,Bellignat,1031,10310000,3618,CC Haut - Bugey,1,Ain,84,Auvergne-Rhône-Alpes,1100,88,102,97,105,114,111,104,88.86,94.31
Béligneux,Béligneux,1032,10320000,3314,CC de la Côtière à Montluel,1,Ain,84,Auvergne-Rhône-Alpes,1360,96,76,82,93,78,83,83,88.86,94.31
BelleGarde-sur-Valserine,Plateau de Musinens,1033,10330202,2842,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,91,103,99,95,119,111,105,88.86,94.31
BelleGarde-sur-Valserine,Arc Vouvray-Gare-Chatillon,1033,10330201,2635,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,91,78,82,88,108,101,92,88.86,94.31
BelleGarde-sur-Valserine,Arlod,1033,10330301,1841,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,91,61,71,97,106,103,87,88.86,94.31
BelleGarde-sur-Valserine,Centre Ville,1033,10330102,2936,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,91,144,127,117,121,120,123,88.86,94.31
BelleGarde-sur-Valserine,Coupy-Vanchy,1033,10330101,1413,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,91,94,93,95,104,101,97,88.86,94.31
Belley,Centre et Est,1034,10340102,3644,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,87,139,121,86,135,119,120,88.86,94.31
Belley,Ouest,1034,10340101,3126,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,87,105,99,105,99,101,100,88.86,94.31
Belley,Sud Ouest,1034,10340103,2363,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1300,87,115,106,83,126,111,109,88.86,94.31
Belleydoux,Belleydoux,1035,10350000,317,CC Haut - Bugey,1,Ain,84,Auvergne-Rhône-Alpes,1130,107,67,80,65,81,75,78,88.86,94.31
Belmont-Luthézieu,Belmont-Luthézieu,1036,10360000,596,CC du Valromey,1,Ain,84,Auvergne-Rhône-Alpes,1260,99,102,101,71,86,81,91,88.86,94.31
Bénonces,Bénonces,1037,10370000,294,CC Rhône - Chartreuse de Portes,1,Ain,84,Auvergne-Rhône-Alpes,1470,93,52,65,67,108,94,80,88.86,94.31
Bény,Bény,1038,10380000,762,CC du Canton de Coligny,1,Ain,84,Auvergne-Rhône-Alpes,1370,103,65,77,77,93,87,82,88.86,94.31
Béon,Béon,1039,10390000,464,CC Bugey Sud,1,Ain,84,Auvergne-Rhône-Alpes,1350,94,59,71,76,101,93,82,88.86,94.31
Béréziat,Béréziat,1040,10400000,494,CC de Montrevel - en - Bresse,1,Ain,84,Auvergne-Rhône-Alpes,1340,101,46,64,75,76,76,70,88.86,94.31
Bettant,Bettant,1041,10410000,750,CC de la PlAine de l'Ain,1,Ain,84,Auvergne-Rhône-Alpes,1500,106,93,97,87,86,86,92,88.86,94.31
Bey,Bey,1042,10420000,276,CC du Canton de Pont-de-Veyle,1,Ain,84,Auvergne-Rhône-Alpes,1290,109,82,91,75,78,77,84,88.86,94.31
Beynost,Beynost,1043,10430000,4557,CC de Miribel et du Plateau,1,Ain,84,Auvergne-Rhône-Alpes,1700,121,73,89,94,90,91,90,88.86,94.31
Billiat,Billiat,1044,10440000,611,CC du Pays BelleGardien (Ccpb),1,Ain,84,Auvergne-Rhône-Alpes,1200,118,76,90,96,83,87,89,88.86,94.31
